Time, Heater, Temperature
0,50,38.107
1.001400709,50,37.979
1.991709948,50,37.979
2.993226528,50,37.914
3.983522177,50,37.656
4.98426342,50,37.656
5.975062609,50,37.656
6.975520611,50,37.656
7.966896772,50,37.431
8.967348099,50,37.334
9.958696127,50,37.366
10.95913434,50,37.334
11.95053816,50,37.334
12.9509716,50,37.334
13.94229031,50,37.334
14.94278479,50,37.334
15.93393064,50,37.463
16.93458414,50,37.592
17.92571092,50,37.656
18.92638731,50,37.656
19.91713476,50,37.656
20.91822624,50,37.721
21.90894914,50,37.882
22.91006494,50,37.979
23.90062881,50,37.946
24.90171957,50,37.979
25.89246273,50,38.075
26.89355111,50,38.107
27.88431239,50,38.301
28.88506842,50,38.301
29.87614584,50,38.333
30.87680483,50,38.494
31.86794925,50,38.623
32.86864877,50,38.623
33.85977197,50,38.881
34.86048555,50,38.945
35.85157228,50,39.235
36.85230398,50,39.268
37.84335327,50,39.558
38.84431529,50,39.59
39.83473563,50,39.751
40.83613086,50,39.912
41.82645321,50,40.105
42.8279314,50,40.234
43.81780601,50,40.299
44.81951094,50,40.557
45.80965161,50,40.589
46.81128812,50,40.847
47.80150318,50,41.008
48.8026762,50,41.201
49.79301882,50,41.201
50.79453397,50,41.459
51.78479934,50,41.523
52.78635311,50,41.588
53.77663493,50,41.846
54.77820945,50,41.846
55.76843667,50,42.104
56.76989388,50,42.168
57.76027703,50,42.168
58.76173806,50,42.232
59.75169826,50,42.458
60.7535212,50,42.49
61.74355745,50,42.684
62.74511576,50,42.813
63.7352159,50,42.813
64.7365787,50,43.07
65.72703433,50,43.135
66.72843957,50,43.457
67.71885538,50,43.457
68.72027946,50,43.683
69.71061397,50,43.779
70.71213722,50,43.779
71.70239019,50,43.812
72.70393944,50,44.005
73.69419837,50,44.102
74.69578505,50,44.102
75.68585062,50,44.198
76.68760371,50,44.424
77.6776793,50,44.488
78.6793735,50,44.746
79.66946387,50,44.746
80.67119384,50,45.004
81.66085935,50,45.068
82.66283965,50,45.101
83.65265799,50,45.358
84.65466309,50,45.423
85.64436054,50,45.681
86.64643884,50,45.713
87.63536096,50,45.713
88.63804054,50,46.035
89.62720275,50,46.035
90.62990737,50,46.035
91.6189847,50,46.261
92.6217494,50,46.357
93.61081696,50,46.357
94.61357546,50,46.551
95.60259008,50,46.68
96.60510063,50,46.68
97.59402657,50,46.809
98.59690285,50,47.002
99.5856688,50,47.002
100.5887222,50,47.034
101.577503,50,47.066
102.580409,50,47.034
103.5692987,50,47.034
104.5722606,50,47.228
105.5610731,50,47.228
106.5641215,50,47.324
107.5525942,50,47.324
108.5559332,50,47.324
109.5444231,50,47.324
110.5477324,50,47.324
111.5362747,50,47.324
112.5395947,50,47.614
113.5281365,50,47.646
114.5313728,50,47.646
115.5199833,50,47.646
116.5232065,50,47.679
117.5114741,50,47.775
118.514941,50,47.969
119.5033123,50,47.969
120.5067897,38,47.969
121.4951327,38,47.969
122.4985695,38,48.065
123.4868917,38,48.065
124.4904282,38,48.227
125.4787149,38,48.291
126.4822786,38,48.291
127.4705482,38,48.291
128.4740953,38,48.291
129.4623613,38,48.291
130.4659386,38,48.323
131.454196,38,48.388
132.4576423,38,48.581
133.4456379,38,48.549
134.4494503,38,48.613
135.4374661,38,48.613
136.4413052,38,48.613
137.4292669,38,48.678
138.4331439,38,48.774
139.4210649,38,48.774
140.4249418,38,48.936
141.4128463,38,48.936
142.416748,38,48.936
143.4046519,38,48.936
144.4085548,38,48.936
145.3964429,38,48.936
146.4003525,38,49.032
147.3882644,38,49.226
148.3921664,38,49.258
149.3800817,38,49.258
150.3839762,38,49.258
151.3718729,38,49.226
152.3758247,38,49.258
153.3637004,38,49.258
154.3676319,38,49.258
155.3554847,38,49.258
156.3594334,38,49.258
157.3473058,38,49.258
158.3512335,38,49.258
159.3391025,38,49.258
160.3430321,38,49.258
161.3309045,38,49.354
162.3348353,38,49.419
163.3226597,38,49.483
164.3266623,38,49.354
165.3144803,38,49.451
166.3185108,38,49.29
167.305819,38,49.354
168.3102744,38,49.387
169.2975888,38,49.516
170.3020844,38,49.451
171.2893527,38,49.548
172.2935376,38,49.322
173.2811399,38,49.483
174.285337,38,49.419
175.2725799,38,49.516
176.2765827,38,49.419
177.2644091,38,49.516
178.2684019,38,49.451
179.2562015,38,49.516
180.2601948,38,49.58
181.2480083,38,49.58
182.2520263,38,49.58
